국가,확진자,사망자,완치,치명(%),완치(%),발생률
자메이카????,88775,2217,57551,2.5,64.8,29980
몰디브????,87487,243,85531,0.3,97.8,161850
룩셈부르크????,81683,843,78859,1,96.5,130489
세네갈????,73909,1878,72005,2.5,97.4,4414
앙골라????,64301,1707,53230,2.7,82.8,1956
말라위????,61789,2299,57288,3.7,92.7,3230
코트디부아르????,61271,692,59954,1.1,97.9,2323
콩고민주공화국????,57470,1091,50930,1.9,88.6,642
트리니다드 토바고????,56831,1674,50380,2.9,88.6,40608
레위니옹????,54668,374,53879,0.7,98.6,61060
과들루프????,54537,742,2250,1.4,4.1,136300
피지????,52141,674,49509,1.3,95,58164
수리남????,48899,1082,29468,2.2,60.3,83355
에스와티니????,46403,1242,45125,2.7,97.2,39997
프랑스령 기아나????,44554,306,9995,0.7,22.4,149169
마다가스카르????,42898,958,41322,2.2,96.3,1549
시리아????,42886,2550,26199,5.9,61.1,2451
마르티니크????,42634,670,104,1.6,0.2,113610
수단????,40238,3099,32905,7.7,81.8,918
프랑스령 폴리네시아????,40178,636,33500,1.6,83.4,143029
라오스????,38728,61,6558,0.2,16.9,5323
카보베르데????,38197,349,37667,0.9,98.6,68701
몰타 공화국????,37618,461,36560,1.2,97.2,85197
모리타니????,37222,794,35872,2.1,96.4,8005
가봉????,35525,239,28889,0.7,81.3,15961
가이아나????,35444,910,31633,2.6,89.2,45063
기니????,30653,385,29516,1.3,96.3,2334
파푸아뉴기니????,29108,367,26123,1.3,89.7,3253
벨리즈????,26798,491,23706,1.8,88.5,67395
탄자니아????,26154,725,0,2.8,-,438
토고????,26054,242,25511,0.9,97.9,3147
베냉????,24749,161,24346,0.7,98.4,2041
아이티????,23823,662,20286,2.8,85.2,2089
바하마????,22351,643,21079,2.9,94.3,56837
세이셸????,22177,119,21849,0.5,98.5,225497
레소토????,21628,658,12408,3,57.4,10096
소말리아????,21269,1180,9927,5.5,46.7,1338
마요트????,20555,185,2964,0.9,14.4,75344
부룬디????,20016,38,773,0.2,3.9,1683
동티모르????,19787,122,19618,0.6,99.1,15008
모리셔스????,17698,166,1854,0.9,10.5,13916
콩고공화국????,17323,258,12421,1.5,71.7,3139
바베이도스????,17151,151,10907,0.9,63.6,59682
타지키스탄????,17086,124,16960,0.7,99.3,1791
퀴라소????,17062,174,16741,1,98.1,103978
니카라과????,16422,207,4225,1.3,25.7,2479
대만????,16399,847,13742,5.2,83.8,689
말리????,15978,563,14640,3.5,91.6,789
아루바????,15901,171,15553,1.1,97.8,148933
안도라????,15516,130,15242,0.8,98.2,200815
부르키나파소????,14793,214,14287,1.4,96.6,708
아이슬란드????,13492,33,12586,0.2,93.3,39538
지부티????,13478,181,13235,1.3,98.2,13642
적도 기니????,13304,166,12681,1.2,95.3,9483
브루나이????,12955,86,10864,0.7,83.9,29613
세인트루시아????,12536,254,11933,2,95.2,68269
남수단????,12361,133,12008,1.1,97.1,1104
홍콩????,12342,213,12033,1.7,97.5,1646
중앙아프리카 공화국????,11518,100,6859,0.9,59.6,2385
감비아????,9965,340,9611,3.4,96.4,4123
예멘????,9773,1877,6358,19.2,65.1,328
맨섬????,9587,57,8824,0.6,92,112744
뉴칼레도니아????,7176,114,58,1.6,0.8,25135
에리트레아????,6816,45,6724,0.7,98.7,1922
시에라리온????,6396,121,4393,1.9,68.7,802
니제르????,6311,212,5965,3.4,94.5,261
뉴질랜드????,6285,28,4585,0.4,73,1303
기니비사우????,6133,141,5564,2.3,90.7,3116
지브롤터????,5959,98,5668,1.6,95.1,176872
그레나다????,5839,198,5512,3.4,94.4,51892
라이베리아????,5812,287,5458,4.9,93.9,1149
버뮤다????,5647,101,5462,1.8,96.7,90674
산마리노????,5509,92,5383,1.7,97.7,162359
차드????,5067,174,4874,3.4,96.2,308
세인트빈센트 그레나딘????,4951,66,3087,1.3,62.4,44628
도미니카 연방????,4783,32,4287,0.7,89.6,66443
신트마르턴????,4492,75,4385,1.7,97.6,104767
코모로????,4239,147,4049,3.5,95.5,4875
앤티가 바부다????,4040,102,3659,2.5,90.6,41254
세인트마틴 섬????,3872,56,1399,1.4,36.1,100140
상투메 프린시페????,3710,56,3245,1.5,87.5,16928
리히텐슈타인????,3557,61,3452,1.7,97,93291
모나코????,3414,36,3350,1.1,98.1,86999
터크스 케이커스 제도????,2975,23,2902,0.8,97.5,76840
영국령 버진아일랜드????,2725,37,2649,1.4,97.2,90139
세인트키츠 네비스????,2668,23,2497,0.9,93.6,50151
부탄????,2621,3,2610,0.1,99.6,3397
카리브 네덜란드????,2417,19,2320,0.8,96,92171
페로 제도????,2011,2,1375,0.1,68.4,41156
케이맨 제도????,1650,2,1002,0.1,60.7,25106
생바르텔레미????,1589,6,462,0.4,29.1,160879
앵귈라????,892,1,790,0.1,88.6,59455
그린란드????,799,0,723,-,90.5,14074
왈리스 퓌티나????,445,7,438,1.6,98.4,-
마카오????,77,0,72,-,93.5,119
포클랜드 제도????,68,0,67,-,98.5,19540
몬트세랫????,41,1,34,2.4,82.9,8213
생피에르 미클롱????,32,0,32,-,100,5523
바티칸 시국????,27,0,27,-,100,33708
솔로몬 제도????,20,0,20,-,100,29
서사하라????,10,1,8,10,80,17
잔담(크루즈)??,9,2,7,22.2,77.8,-
팔라우????,8,0,8,-,100,442
바누아투????,6,1,3,16.7,50,20
마셜 제도????,4,0,4,-,100,68
사모아????,3,0,3,-,100,15
세인트헬레나????,2,0,2,-,100,329
미크로네시아????,1,0,1,-,100,9
